"timestamp","Real","RF","M5P","NN"
2018-03-10 07:00:00,25.02,26.0909234278499,19.4459098455018,23.9206023576353
2018-03-10 08:00:00,23.908,24.2847487763348,19.7147890844703,22.657837555246
2018-03-10 09:00:00,32.804,24.4839437316017,20.8993145023937,22.7808770082157
2018-03-10 10:00:00,25.5,26.2494406926407,22.4323260612804,24.1445683144434
2018-03-10 11:00:00,29.5,26.289485946609,21.8921448071524,25.9973829178586
2018-03-10 12:00:00,28.912,25.7612520923521,24.3240352985547,24.6494539237035
2018-03-10 13:00:00,29.468,27.5985321428571,26.3906290618033,21.5381525939197
2018-03-10 14:00:00,34.472,25.81078,24.4854269788048,24.5169501199612
2018-03-10 15:00:00,37.252,30.0394116666667,29.3626197716663,20.7668278306657
2018-03-10 16:00:00,40.032,28.5766072806638,28.2829446202489,20.380465610667
2018-03-10 17:00:00,36.14,28.8796296789322,31.0676786841145,23.4826251735523
2018-03-10 18:00:00,37.252,28.5487598917749,28.792091128089,26.9309102784572
2018-03-10 19:00:00,24.464,28.2888477243867,31.3506778992248,24.207905529537
2018-03-10 20:00:00,36.5,27.7564177532468,28.4653716993645,23.5464519203857
2018-03-11 07:00:00,43.368,24.0591026406926,17.5344238678549,21.3334509726847
2018-03-11 08:00:00,45.036,24.8304694531024,16.738648469048,22.8736823546192
2018-03-11 09:00:00,45.592,31.8296306580087,18.4090208445184,28.6818963770777
2018-03-11 10:00:00,46.704,33.8971675728716,29.9803759398031,32.5000255985567
2018-03-11 11:00:00,47.26,32.8058463441558,34.666092398089,32.7473782253485
2018-03-11 12:00:00,48.372,34.6147810497836,21.3094048473751,34.2115263247004
2018-03-11 13:00:00,48.372,38.574894,36.0908806320229,36.4392938092422
2018-03-11 14:00:00,46.148,31.9198875238095,31.8237166821348,33.9628496077848
2018-03-11 15:00:00,46.148,34.0902545050505,34.2985763310726,36.6759516228876
2018-03-11 16:00:00,47.26,29.7635769848485,26.7193940455409,28.2810343361327
2018-03-11 17:00:00,46.704,31.718156472583,9.69160221159913,31.5231779134661
2018-03-11 18:00:00,43.924,30.5402266818182,33.4276062443734,30.1304787216968
2018-03-11 19:00:00,41.144,29.3187079307359,34.8186605168277,33.0433459969427
2018-03-11 20:00:00,40.588,27.9085833015873,31.5660788087145,23.1668379872413
2018-03-12 07:00:00,33.36,27.88649697114,19.563549472269,22.7247899004847
2018-03-12 08:00:00,34.472,27.3247454314574,20.5891324648358,23.7012214464699
2018-03-12 09:00:00,37.808,30.1873600887446,24.2567970567622,25.4850673752065
2018-03-12 10:00:00,40.032,31.014540987013,29.2593680530888,26.0621336700363
2018-03-12 11:00:00,41.144,31.2547578311688,34.1339872415218,27.6138344512852
2018-03-12 12:00:00,42.256,30.4321406255411,19.874046045331,29.6785022548898
2018-03-12 13:00:00,42.812,37.2780707987013,24.3307825147403,36.1559780775399
2018-03-12 14:00:00,44.48,35.6289627099567,34.0366002381421,32.8057113212151
2018-03-12 15:00:00,44.48,34.6917092907648,19.8802551612786,29.2833414023255
2018-03-12 16:00:00,43.924,35.6575387914863,16.2770816010676,30.0518826676518
2018-03-12 17:00:00,42.812,32.6881715916306,12.6897621998434,29.3233184507057
2018-03-12 18:00:00,40.032,32.3571395367966,35.1405445481444,31.8934563139703
2018-03-12 19:00:00,31.136,35.3789597243867,35.6341856144541,31.4921596518196
2018-03-12 20:00:00,28.912,31.3714280021645,31.671952949114,25.2151558422962
2018-03-13 07:00:00,33.5,25.2482053492063,20.6926870216448,24.0051847845128
2018-03-13 08:00:00,37.5,25.0987398600289,21.9963535012583,24.2489151791472
2018-03-13 09:00:00,26.5,27.1172395,24.6108831225486,24.5678847185081
2018-03-13 10:00:00,26.132,27.3104079588745,23.8159182220091,25.7508140896833
2018-03-13 11:00:00,32.248,27.4937038961039,27.7673812579109,24.6409534334929
2018-03-13 12:00:00,36.14,28.0875825454545,31.1343255356662,24.0273811276678
2018-03-13 13:00:00,37.252,30.3930458831169,32.1103150125284,25.6988759366501
2018-03-13 14:00:00,37.252,30.3510382640693,30.4194081811173,23.0734005366012
2018-03-13 15:00:00,37.808,31.7478935974026,32.5412176842156,25.7342429500851
2018-03-13 16:00:00,37.808,29.4163908679653,31.4739697561268,24.3425581783578
2018-03-13 17:00:00,34.472,27.7895412922078,28.8683153767198,21.8272310786307
2018-03-13 18:00:00,32.248,29.2560953333333,30.2937183176854,24.4831872241073
2018-03-13 19:00:00,24,29.4258351883117,29.4085851137666,26.3493901562822
2018-03-13 20:00:00,32,27.6946656818182,25.1995272353413,23.8750431564424
2018-03-14 07:00:00,23.5,29.5756955988456,25.9982481418172,24.4642368971887
2018-03-14 08:00:00,39,25.4512503290043,21.4049877860884,23.3834679161494
2018-03-14 09:00:00,35,27.3081976796537,26.7102554088169,23.5377160204253
2018-03-14 10:00:00,29.5,26.2871292207792,23.2974344520246,23.9623496175748
2018-03-14 11:00:00,20,25.5336417503607,26.6358916357899,22.0718224128821
2018-03-14 12:00:00,21.128,26.4531264134199,26.8095374830436,21.4793212522525
2018-03-14 13:00:00,18.348,26.7880439266131,25.3329379583321,27.5423107204011
2018-03-14 14:00:00,20.572,26.6717570966811,28.580141039802,27.2140286107317
2018-03-14 15:00:00,22.796,27.503543001443,28.3238260783886,26.9215129471997
2018-03-14 16:00:00,23.908,28.2928248932179,29.4899993343377,27.5232358466046
2018-03-14 17:00:00,24.464,27.7653707633478,29.2286441403866,27.1687358046484
2018-03-14 18:00:00,23.908,25.0715845728716,27.5234310764399,25.9332062118677
2018-03-14 19:00:00,20.016,25.6240761789322,23.4447571820963,20.2008928828037
2018-03-14 20:00:00,31.692,26.3909746017316,24.1822756010855,24.9393412315056
2018-03-15 07:00:00,38.92,26.6129058975469,16.6837730587388,25.4125025305469
2018-03-15 08:00:00,39.476,24.8389340483405,14.5809469227445,23.375257019311
2018-03-15 09:00:00,41.144,30.0829448311688,16.3976623284841,26.9686783460269
2018-03-15 10:00:00,45.036,31.9945606724387,24.0285348014664,27.6769170755469
2018-03-15 11:00:00,45.036,31.5288286558442,34.2117582357857,30.0594301969094
2018-03-15 12:00:00,47.816,32.1468985512266,22.446888652026,33.9401499526268
2018-03-15 13:00:00,47.26,39.44325,36.4196443972093,38.8934041784136
2018-03-15 14:00:00,46.704,37.4399683088023,35.5526497711842,35.6367510694281
2018-03-15 15:00:00,46.704,37.71860595671,35.7779622463878,35.7567740619495
