"anyo","mes","dia","temp","maxtemp","mintemp","hum","wspd","wdir","wdire","presion","precip","fog","rain","snow"
"2001","10","27","16","21","11","75","2","169","South","1021.07","0.0","0","0","0"
"2001","10","28","20","24","15","62","6","80","East","1024.31","0.0","0","0","0"
"2001","10","29","20","25","15","49","7","87","East","1028.71","0.0","0","0","0"
"2001","10","30","20","26","13","52","4","82","East","1026.93","0.0","0","0","0"
"2001","10","31","18","25","12","60","2","72","ENE","1026.69","0.0","0","0","0"
"2001","11","01","16","20","13","47","7","88","East","1027.42","0.0","0","0","0"
"2001","11","02","13","18","8","41","9","90","East","1027.93","0.0","0","0","0"
"2001","11","03","13","17","9","67","5","95","East","1026.93","0.0","0","0","0"
"2001","11","04","12","14","10","88","4","103","ESE","1023.69","0.0","0","1","0"
"2001","11","05","12","15","9","71","8","78","ENE","1020.50","0.0","0","0","0"
"2001","11","06","12","16","9","65","8","95","East","1022.21","0.0","0","0","0"
"2001","11","07","12","18","7","54","4","53","NE","1025.36","0.0","0","0","0"
"2001","11","08","12","19","6","57","6","304","NW","1019.64","0.0","0","0","0"
"2001","11","09","6","8","3","51","16","44","NE","1012.64","0.0","0","0","0"
"2001","11","10","4","7","1","33","20","76","ENE","1014.64","0.0","0","0","0"
"2001","11","11","4","12","-3","50","5","299","WNW","1013.31","0.0","0","0","0"
"2001","11","12","8","14","1","54","3","267","West","1016.00","0.0","0","0","0"
"2001","11","13","10","16","5","65","10","328","NNW","1017.38","0.0","0","0","0"
"2001","11","14","8","9","5","48","22","52","NE","1017.29","0.0","0","0","0"
"2001","11","15","4","7","1","67","8","56","NE","1016.36","0.0","0","1","0"
"2001","11","16","6","7","4","72","17","116","ESE","1019.21","0.0","0","1","0"
"2001","11","17","7","9","5","83","6","122","ESE","1022.36","0.0","0","1","0"
"2001","11","18","6","9","4","82","3","355","North","1020.60","0.0","0","0","0"
"2001","11","19","6","11","1","74","3","238","WSW","1021.23","0.0","0","0","0"
"2001","11","20","7","12","2","64","4","98","East","1024.54","0.0","0","0","0"
"2001","11","21","8","11","5","67","8","92","East","1027.50","0.0","0","0","0"
"2001","11","22","9","13","5","57","7","88","East","1025.36","0.0","0","0","0"
"2001","11","23","8","15","2","50","5","57","ENE","1023.54","0.0","0","0","0"
"2001","11","24","9","14","4","59","3","58","ENE","1023.46","0.0","0","0","0"
"2001","11","25","8","14","3","62","3","21","NNE","1020.00","0.0","0","0","0"
"2001","11","26","6","10","2","79","2","255","WSW","1015.79","0.0","0","0","0"
"2001","11","27","9","12","6","72","2","30","NNE","1017.71","0.0","0","0","0"
"2001","11","28","6","12","0","61","2","262","West","1026.36","0.0","0","0","0"
"2001","11","29","8","13","2","71","2","239","WSW","1027.93","0.0","0","0","0"
"2001","11","30","8","13","2","78","1","263","West","1025.18","0.0","0","0","0"
"2001","12","01","4","6","1","99","1","170","South","1022.79","0.0","1","0","0"
"2001","12","02","8","13","2","78","3","103","ESE","1021.76","0.0","1","0","0"
"2001","12","03","8","14","3","67","1","187","South","1024.46","0.0","0","0","0"
"2001","12","04","6","12","1","87","1","316","NW","1028.29","0.0","1","0","0"
"2001","12","05","8","14","2","75","0","165","SSE","1030.20","0.0","1","0","0"
"2001","12","06","10","16","3","55","3","59","ENE","1028.31","0.0","0","0","0"
"2001","12","07","8","13","4","68","1","194","SSW","1022.93","0.0","0","0","0"
"2001","12","08","8","12","3","69","5","94","East","1024.67","0.0","0","0","0"
"2001","12","09","9","11","7","75","7","126","SE","1026.79","0.0","0","0","0"
"2001","12","10","4","10","-2","75","6","76","ENE","1028.02","0.0","0","0","0"
"2001","12","11","8","9","6","71","8","154","SSE","1024.62","0.0","0","0","0"
"2001","12","12","6","9","2","76","4","123","ESE","1019.54","0.0","0","0","0"
"2001","12","13","4","9","-2","70","3","237","WSW","1017.77","0.0","0","0","0"
"2001","12","14","2","11","-7","66","5","22","NNE","1016.13","0.0","0","0","0"
"2001","12","15","-1","3","-5","49","7","67","ENE","1018.93","0.0","0","0","0"
"2001","12","16","0","7","-6","57","2","73","ENE","1021.46","0.0","0","0","0"
"2001","12","17","2","8","-4","56","6","100","East","1022.07","0.0","0","0","0"
"2001","12","18","5","9","1","64","7","103","ESE","1022.43","0.0","0","0","0"
"2001","12","19","4","8","-1","69","4","7","North","1026.32","0.0","0","0","0"
"2001","12","20","6","9","3","72","2","27","NNE","1022.00","0.0","0","0","0"
